person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Lorelei Florea,loreleiflorea,loreleiflorea@zzup.ro,2950205306665,1942-09-17,"Soseaua Suciu Nr. 640, Salonta, 834899",0269 528 198,a8:04:24:fa:fd:cb,152.188.85.14,RO86YLYI1028434861972408,2025-04-10 10:49:49,26205,443,789,903977,81b1d02c-caff-46a4-bf35-8abaa56febf3
Angela Tabacu,angelatabacu,angelatabacu@kappa.ro,4151104116097,1978-08-23,"Intrarea Toma, Babeni, 616345",0737 341 443,6a:93:48:5d:16:6c,40.34.119.117,RO76OBQQ3884592465723396,2025-04-10 10:49:49,31554,947,766,147379,1d552da3-3d8a-4936-902f-2bccea424d54
Aida Albu,aidaalbu,aidaalbu@email.ro,7080119094734,1979-05-10,"Strada Haralambie Tomescu Nr. 49 Bl. 14  Sc. 49 Ap. 569, Beclean, 894625",0235 616 747,82:a8:c6:a6:cf:59,169.205.130.124,RO54FTFU9964742657402360,2025-04-10 10:49:49,3581,708,226,1595689,6cdaa6a6-b924-4ef7-994d-6eb00682a80f
Cipriana Mocanu,ciprianamocanu,ciprianamocanu@email.ro,7140703122201,1935-06-16,"Soseaua Nistor Nr. 877, Reghin, 202216",0786 985 077,46:38:2d:4c:ca:1f,162.45.134.21,RO43DXHA7985804209626485,2025-04-10 10:49:49,1716,367,365,1903556,ec64d9c7-0939-4a2b-9fb1-f302fd9c6478
Jenel Tabacu,jeneltabacu,jeneltabacu@email.ro,6130510119709,1961-10-03,"Drumul Dinu Nr. 58, Raducaneni, 445552",0739 693 974,7c:da:ae:cd:78:4f,205.21.241.101,RO82GPDI7681931880287759,2025-04-10 10:49:49,27853,170,394,295756,f34a08d9-3127-4240-80fe-a9a01520fcbf
Eufrosina Florea,eufrosinaflorea,eufrosinaflorea@141.ro,5390427349313,1911-09-19,"Strada Olivia Oprea Nr. 409 Bl. 89  Sc. 85 Ap. 765, Targu Mures, 126343",0243 970 082,34:c8:18:7b:7e:1a,101.88.79.177,RO82PZBN8075982490774930,2025-04-10 10:49:49,13937,287,747,1340501,2e777799-c79b-443c-a3dc-d5ec0aff4e93
Codrin Ene,codrinene,codrinene@gmail.com,4150226431271,1992-06-10,"Bulevardul Ioniță Nr. 617, Pecica, 725770",0260 906 218,c4:b5:2d:10:40:68,36.123.36.211,RO48KNKI2444889335068371,2025-04-10 10:49:49,17276,543,285,1251312,271b5732-08f0-4902-9982-fc2269f2bf8e
Matilda Dochioiu,matildadochioiu,matildadochioiu@kappa.ro,7030108038640,1940-08-17,"Bulevardul Nemeș, Targoviste, 801033",021 467 5711,4c:90:e8:8d:65:3d,35.228.151.78,RO07ZELH1821867584245665,2025-04-10 10:49:49,34540,562,125,103405,caf518e7-8717-4e0e-9cee-5f11add10d7f
Sidonia Marin,sidoniamarin,sidoniamarin@zzup.ro,5150711135612,1993-09-12,"Strada Nistor Nr. 184, Avrig, 886387",0243 422 856,4e:3f:49:fd:b1:4a,208.101.246.119,RO80OHZC7077594225534019,2025-04-10 10:49:49,22361,908,116,1157344,502c78c3-8959-44f8-977a-1370feed9fc1
Zaharia Ababei,zahariaababei,zahariaababei@zzup.ro,6911229295671,1984-04-22,"Bulevardul Cornelia Preda Nr. 24 Bl. 71  Sc. 75 Ap. 639, Campina, 607329",0768 496 173,92:30:09:9a:7c:5b,220.242.133.212,RO30RVXT0909801655928428,2025-04-10 10:49:49,12006,821,148,1204864,5cd700cb-9590-4fd3-9b96-5d144f9a56df
Dochia Gheorghiu,dochiagheorghiu,dochiagheorghiu@acasa.ro,4621017321577,1956-02-07,"Aleea Violeta Mazilescu Nr. 875, Sighetu Marmatiei, 563724",0741 096 304,70:61:a9:76:3f:35,14.211.138.80,RO78XRWC2877394598694894,2025-04-10 10:49:49,15472,807,388,990968,ab34a143-dc0d-46cc-93a6-6a1acd9b7ca3
Ionică Dumitrescu,ionicădumitrescu,ionicădumitrescu@email.ro,2460512359557,1923-02-09,"Bulevardul Oana Ioniță Nr. 591 Bl. 49  Sc. 49 Ap. 686, Cluj-Napoca, 547707",0250 953 956,f2:49:7e:3b:8a:88,220.80.128.88,RO43VLKG2197305534677483,2025-04-10 10:49:49,10823,682,734,1951637,140eae6d-c426-4a1d-b4ba-9fe4fbd72561
Geanina Florea,geaninaflorea,geaninaflorea@gmail.com,5490216450862,1990-04-02,"Drumul Eremia Gheorghiu, Calarasi, 380122",0745 933 912,36:8b:42:10:91:80,49.42.176.74,RO05LAAK2858535532521967,2025-04-10 10:49:49,7644,445,474,74226,ee45148e-bb2c-4526-99fb-83b8838c3eb4
Cosmina Mocanu,cosminamocanu,cosminamocanu@141.ro,5471209511541,1951-06-05,"Strada Popescu Nr. 70 Bl. 78  Sc. 64 Ap. 799, Tudora, 142133",0786 178 779,7a:cb:e5:0a:04:39,199.103.229.27,RO12PFOP4911078830938568,2025-04-10 10:49:49,22272,935,218,1391996,664da267-c162-46e7-921d-ff279e64dba0
Voichița Nemeș,voichițanemeș,voichițanemeș@acasa.ro,3750628394811,1989-09-14,"Soseaua Dochioiu Nr. 42 Bl. 19  Sc. 64 Ap. 838, Deva, 192483",0249 923 002,ae:49:7d:56:4d:d2,140.39.1.93,RO33KINI6016069592961978,2025-04-10 10:49:49,5944,746,17,1219614,fb77048d-bbda-43ce-9b10-38ceb93f9052
Oliviu Dumitrescu,oliviudumitrescu,oliviudumitrescu@kappa.ro,7380509345213,1990-10-30,"Soseaua Dominic Nemeș, Chisineu-Cris, 818591",0730 121 393,32:9c:a3:65:7b:f6,70.125.227.99,RO84NIDW9700178842787982,2025-04-10 10:49:49,32010,29,364,414350,fce1cc0e-e966-4edc-b11a-2680bd6575c2
Eustațiu Florea,eustațiuflorea,eustațiuflorea@post.ro,8401016360182,1952-08-28,"Intrarea Ilarie Dinu, Oituz, 448279",0723 720 160,e2:14:d9:00:2c:d9,158.177.243.252,RO55ZKCW7107859953642259,2025-04-10 10:49:49,15684,743,305,373032,6a9d8126-a284-440e-8246-8b8cdd02c201
Clara Stancu,clarastancu,clarastancu@gmail.com,4460301216804,1990-01-19,"Strada Dinu Nr. 83, Straja, 243683",0235 294 692,72:d1:eb:4a:13:16,194.140.183.228,RO36CMCA2421056959394838,2025-04-10 10:49:49,1493,332,593,229298,350f6a71-759f-4fb8-9038-9ee6cc1a712a
Eva Oprea,evaoprea,evaoprea@gmail.com,8970705174263,1971-09-12,"Soseaua Stoica Nr. 253 Bl. 80  Sc. 19 Ap. 266, Dej, 754373",0755 714 507,a4:31:6f:6c:62:53,113.172.255.54,RO21SLMS2565649715490923,2025-04-10 10:49:49,30997,969,480,1645686,6f612492-2365-4cb1-9d41-1cf605a6e66e
Clara Cristea,claracristea,claracristea@gmail.com,1700108270678,1997-08-03,"Drumul Tiberiu Aanei Nr. 70 Bl. 89  Sc. 15 Ap. 956, Zimnicea, 696011",0250 426 343,44:c8:cb:51:10:cc,34.116.250.212,RO27YFCR6861944445475596,2025-04-10 10:49:49,32947,105,608,1639802,2f7d3d17-ef22-4ef7-a6ec-ef7c753d476b
Călin Florea,călinflorea,călinflorea@acasa.ro,4150715403740,1966-02-10,"Intrarea Dumitrescu Nr. 61 Bl. 30  Sc. 51 Ap. 762, Marghita, 855743",0771 513 990,08:25:ff:ba:b4:fa,83.199.251.136,RO62GIQF3908096628188202,2025-04-10 10:49:49,11829,304,105,1948311,cd1341dd-d62c-4eca-a083-76b1e4140575
Aristița Stan,aristițastan,aristițastan@141.ro,3070311426452,2003-08-14,"Bulevardul Popescu Nr. 27 Bl. 96  Sc. 50 Ap. 585, Talmaciu, 142156",0764 326 354,68:b2:0d:36:99:0d,185.255.23.220,RO28OBGQ9295583991448949,2025-04-10 10:49:49,34385,378,716,1276720,caa09673-5993-4c96-bdce-455c5190f5ce
Marta Tabacu,martatabacu,martatabacu@141.ro,4940403010323,1954-07-15,"Aleea Dorli Ababei Nr. 98 Bl. 82  Sc. 43 Ap. 619, Urziceni, 225036",0758 190 009,44:76:f1:ed:1d:e4,163.130.87.216,RO74JNFI5013225279715858,2025-04-10 10:49:49,5259,820,768,1356056,12a3da6f-51f5-4657-ab70-91c60b787299
Heracleea Diaconu,heracleeadiaconu,heracleeadiaconu@email.ro,3770615080138,1976-07-24,"Aleea Milena Tudor Nr. 244 Bl. 50  Sc. 17 Ap. 218, Pogoanele, 531270",0765 386 676,f4:f9:a9:5d:54:b5,136.72.171.76,RO84FQTG2054775811493800,2025-04-10 10:49:49,4916,611,155,1262862,5e297265-91f3-402b-8953-02d1350c244c
Fabian Nemeș,fabiannemeș,fabiannemeș@email.ro,6650726088006,2021-03-28,"Intrarea Tudor Nr. 55, Focsani, 183994",0750 719 758,60:f8:fa:58:6f:d6,6.116.10.87,RO47EBBQ2420392089907902,2025-04-10 10:49:49,13348,42,373,1507488,907a8659-5f2c-4772-816c-4007817d5069
Miruna Popa,mirunapopa,mirunapopa@kappa.ro,4790131262259,1991-02-16,"Strada Iris Ionescu, Sebes, 378552",0253 801 453,52:78:e9:a1:9e:79,75.196.135.6,RO41YQRV1761490700080304,2025-04-10 10:49:49,19856,255,181,1893418,b3f09f7b-d9b5-4d71-81b9-79af5f52de4b
Leontina Ioniță,leontinaioniță,leontinaioniță@kappa.ro,1970813255127,1952-11-13,"Bulevardul Mocanu Nr. 285, Targoviste, 369246",0749 503 720,70:6a:bb:da:f6:87,221.145.115.157,RO24KBUU5607946848471159,2025-04-10 10:49:49,17576,594,584,1621867,cfc9743c-537c-4394-afb7-b75ff01fcffe
Adela Barbu,adelabarbu,adelabarbu@post.ro,7990125166896,1933-12-21,"Aleea Ionel Eftimie Nr. 640 Bl. 92  Sc. 71 Ap. 976, Suceava, 674960",0731 164 566,f0:fa:ab:05:fd:d2,199.36.228.236,RO54NZMD0049376559186075,2025-04-10 10:49:49,28518,669,438,744337,b523db5d-bae6-47df-b382-25c273e8217d
Petruța Oprea,petruțaoprea,petruțaoprea@141.ro,6900613134948,2020-07-29,"Drumul Ardelean Nr. 49 Bl. 54  Sc. 71 Ap. 685, Gheorgheni, 362566",0240 721 518,b2:e8:ad:1f:97:0d,48.154.44.169,RO52BLWN1647095138362848,2025-04-10 10:49:49,953,673,292,1234417,f41c635e-747f-452a-8f70-6edf039a865c
Ionela Tudor,ionelatudor,ionelatudor@141.ro,3980927017730,1977-05-08,"Strada Stănescu Nr. 35, Curtici, 178509",0728 096 879,60:3c:53:c4:19:d1,132.197.51.110,RO08JRSM6816356148717596,2025-04-10 10:49:49,28037,453,235,1948024,5e8a087f-1036-48bc-9340-cf06724d2389
Dinu Florea,dinuflorea,dinuflorea@141.ro,2030408036569,2022-03-23,"Aleea Henrieta Oprea, Cernavoda, 404683",0256 595 438,46:13:f8:52:c9:ac,145.199.94.154,RO40PSGU8786592829627863,2025-04-10 10:49:49,23675,45,564,424465,6bc1bef3-6b71-464d-a6fc-30d276901182
Codrina Tabacu,codrinatabacu,codrinatabacu@kappa.ro,4480631083513,1922-03-09,"Intrarea Aanei, Dej, 186251",0234 328 978,04:7d:85:e9:eb:0f,199.29.255.253,RO31IQYL1190937870752153,2025-04-10 10:49:49,22782,525,561,853282,17fdb206-d41e-4a57-b711-ef3764871f91
Gabi Dima,gabidima,gabidima@email.ro,5581002292343,1969-02-24,"Intrarea Stan Nr. 279 Bl. 82  Sc. 78 Ap. 310, Tandarei, 592118",0726 127 290,16:c7:bc:d2:2e:bc,85.23.179.79,RO70MPDW7483571459588863,2025-04-10 10:49:49,27311,874,46,80282,1ccd5272-6521-41ec-9958-9aff5fad0520
Beatrice Tudor,beatricetudor,beatricetudor@email.ro,5360408282929,1966-09-20,"Aleea Diaconescu Nr. 52 Bl. 34  Sc. 13 Ap. 783, Barlad, 854159",0748 193 298,80:c0:84:ec:84:bf,123.40.139.114,RO60VJAB9513543250426662,2025-04-10 10:49:49,14449,91,528,7606,f6445393-3952-4a2f-a4a0-d53e88f78e76
Ofelia Gheorghiu,ofeliagheorghiu,ofeliagheorghiu@email.ro,2360109267858,1910-04-05,"Intrarea Nemeș Nr. 60 Bl. 27  Sc. 16 Ap. 433, Feldru, 750165",0750 244 567,02:d9:ec:ac:f1:f5,144.16.175.239,RO40HXGR9574830570332760,2025-04-10 10:49:49,23597,566,253,1094041,fb60f966-c7f0-44c0-a2d7-6139ce85ef4e
Costache Mocanu,costachemocanu,costachemocanu@gmail.com,4751203017034,1989-02-17,"Intrarea Diaconescu Nr. 644, Fieni, 706831",0722 621 640,ec:d2:c3:1e:30:f1,146.201.206.20,RO16OTQU4478571384255929,2025-04-10 10:49:49,21150,57,234,194344,096444cc-688e-4302-9466-2d33e718c44b
Ancuța Mazilescu,ancuțamazilescu,ancuțamazilescu@zzup.ro,4561211203560,1996-01-12,"Bulevardul Ardelean Nr. 590 Bl. 94  Sc. 15 Ap. 409, Valea Caselor (Dragasani), 429413",0244 727 864,5c:04:95:6b:39:4e,19.17.255.53,RO55DXVS1452283015094010,2025-04-10 10:49:49,6035,703,713,109157,63f43a52-92e1-47d9-a090-837116701ee2
Ramona Diaconescu,ramonadiaconescu,ramonadiaconescu@141.ro,6100423375857,1910-05-10,"Aleea Arina Dochioiu Nr. 879 Bl. 63  Sc. 50 Ap. 969, Jibou, 325644",0788 943 224,7a:9e:6c:55:28:3e,218.240.103.238,RO51MUSW2501530024522369,2025-04-10 10:49:49,1273,890,412,609132,6d8d9f6b-417d-4eb9-9610-5e51568069e5
Lucențiu Dumitrescu,lucențiudumitrescu,lucențiudumitrescu@kappa.ro,4581210075594,2008-05-08,"Strada Catrinel Dochioiu Nr. 65 Bl. 55  Sc. 73 Ap. 456, Vlahita, 950054",0769 234 232,de:16:8f:c6:c5:35,197.215.236.38,RO28PIZU3962256180227383,2025-04-10 10:49:49,8025,341,96,1773313,32b10a7f-2ebc-40f3-9d86-607d4371f54a
Adriana Toma,adrianatoma,adrianatoma@email.ro,8260231203614,1998-07-11,"Aleea Timea Popa Nr. 26, Seini, 821463",0771 100 634,0c:f7:95:02:d5:0d,207.62.199.26,RO89ADQS9753043048348846,2025-04-10 10:49:49,11481,600,560,744494,a66ec45d-d5a6-4cf9-979a-fef3f12e21eb
Dida Suciu,didasuciu,didasuciu@acasa.ro,5880311061811,1915-11-11,"Intrarea Ștefan Tomescu Nr. 689 Bl. 63  Sc. 52 Ap. 515, Hunedoara, 526716",0245 988 420,42:1f:2f:08:af:1b,115.216.228.242,RO97UARA2556753498453206,2025-04-10 10:49:49,30677,360,400,1339546,032b84ff-025c-428e-a612-420b52f2bc6b
Mugurel Ababei,mugurelababei,mugurelababei@141.ro,1180419166788,2000-05-28,"Bulevardul Stănescu, Stei, 375075",0235 139 317,0c:73:9d:98:98:bd,12.127.69.109,RO04WZBZ6923061960512236,2025-04-10 10:49:49,11930,802,143,1113648,b00be73c-a0ff-4403-8b4b-e2904513fedf
Ionelia Ionescu,ioneliaionescu,ioneliaionescu@post.ro,2191029195827,1941-11-11,"Aleea Mocanu Nr. 69 Bl. 34  Sc. 22 Ap. 700, Calarasi, 829823",0745 664 024,00:d2:ab:66:63:60,136.234.6.110,RO17HOCK7820420293404261,2025-04-10 10:49:49,7600,351,383,57023,70bee602-a1e9-4da4-a763-e39eb4f83626
Zina Niță,zinaniță,zinaniță@email.ro,6490218430048,1932-07-14,"Strada Pop Nr. 26, Copsa Mica, 399369",0731 257 639,38:e2:ec:10:7f:17,121.143.88.215,RO16JEAP2850046313083891,2025-04-10 10:49:49,10218,517,694,393756,a53e3228-4986-4e65-95f7-254c9cc1c497
Mugur Tudor,mugurtudor,mugurtudor@gmail.com,3050618277965,1912-08-28,"Drumul Suciu, Comanesti, 712007",0267 001 452,0e:d8:41:ca:bd:8b,109.114.238.166,RO72EDBU9475071036785388,2025-04-10 10:49:49,10648,457,287,819029,eda806f5-c6fd-48f0-a521-0dfea2f7a236
Fabia Ionescu,fabiaionescu,fabiaionescu@gmail.com,6410629297798,1939-09-22,"Bulevardul Mocanu, Sebes, 725488",0747 592 331,9a:2b:3a:36:5d:07,165.213.211.60,RO25OGRG7269279695027229,2025-04-10 10:49:49,33848,34,143,1940204,07cc814f-1275-4b6f-8e27-59cbc34991ab
Virginia Ionescu,virginiaionescu,virginiaionescu@email.ro,4300214086739,2010-11-06,"Aleea Dima, Bocsa, 865577",0252 382 260,b6:fb:96:dd:2c:20,114.171.140.21,RO94HEGH6925828342179335,2025-04-10 10:49:49,3407,798,356,1321007,f6dd8eb4-cd39-4d62-9a3c-3029f59b8ed9
Romina Ionescu,rominaionescu,rominaionescu@email.ro,4181113258673,1943-11-29,"Soseaua Pușcașu Nr. 978 Bl. 59  Sc. 95 Ap. 103, Alexandria, 515991",0242 031 988,c8:3d:71:3f:cf:ca,108.146.16.17,RO63AFZK0247199778944261,2025-04-10 10:49:49,232,450,694,1377294,30a2d202-188d-40d7-95cf-66aa7226b576
Cătălina Niță,cătălinaniță,cătălinaniță@acasa.ro,7970501338519,2019-05-22,"Intrarea Oprea Nr. 658, Ineu, 252623",0726 080 328,26:ca:98:2b:67:55,130.24.11.56,RO96UMYQ6032977213749402,2025-04-10 10:49:49,34455,609,661,409082,a199d2b9-30e6-439b-ad8c-744754964b6c
Carla Pop,carlapop,carlapop@post.ro,1990612152887,1995-08-02,"Soseaua Diaconu Nr. 310 Bl. 55  Sc. 84 Ap. 951, Strehaia, 735528",0760 169 904,4a:a1:8d:19:0a:79,105.95.221.52,RO28JYSV7523231064773859,2025-04-10 10:49:49,24820,673,462,86888,b83a4766-f06c-423c-b402-86eefe39bf5e
Fabiana Stoica,fabianastoica,fabianastoica@kappa.ro,7961226172004,1915-10-23,"Aleea Suciu, Sangeorgiu de Mures, 610619",0264 488 855,50:5a:ba:8c:bd:58,117.237.165.84,RO10WUKH9446206913346719,2025-04-10 10:49:49,34748,182,415,294006,fa9c5176-aeb8-4f03-87ca-a66350e296f7
Clarisa Stoica,clarisastoica,clarisastoica@zzup.ro,7731217038394,2004-10-07,"Bulevardul Preda Nr. 42, Darmanesti, 219113",0746 867 260,c0:43:67:eb:5a:ca,93.245.194.197,RO33PFWI0115189337752398,2025-04-10 10:49:49,7356,116,144,1379156,7149d91a-e205-4f1a-a8ee-25fa8edd3b8e
Cornelia Dochioiu,corneliadochioiu,corneliadochioiu@acasa.ro,5831206443969,1947-06-24,"Bulevardul Iosif Pușcașu, Constanta, 846304",0241 256 079,0c:9a:73:e8:df:24,65.21.232.118,RO44JDEZ5026150577883744,2025-04-10 10:49:49,26704,497,682,1282614,bbcb77e2-b0a1-4089-a91e-3cbd56cf0b6d
Ludovic Tomescu,ludovictomescu,ludovictomescu@zzup.ro,2400526176871,1996-04-06,"Aleea Nistor Nr. 676, Borcea, 722368",0754 031 515,e0:63:4a:0a:c9:93,73.234.182.93,RO64JBCY0102000916088599,2025-04-10 10:49:49,6655,975,180,1045733,48da45ae-1c7d-4ff4-84eb-057748ac1c16
Florica Dumitrescu,floricadumitrescu,floricadumitrescu@post.ro,3001008108999,1909-08-29,"Soseaua Aanei, Macin, 540718",0772 959 160,f4:38:d2:df:18:82,116.132.147.135,RO33NYXV0458218069217503,2025-04-10 10:49:49,383,588,86,1041137,3cf77206-8039-434c-b626-b92b86fd3c62
Florentin Diaconu,florentindiaconu,florentindiaconu@email.ro,3380915153051,2007-08-15,"Bulevardul Frusina Aanei, Plosca, 241714",0240 475 425,ec:e8:7a:2e:eb:0f,138.201.15.190,RO80QHMJ8996564847200935,2025-04-10 10:49:49,23084,411,361,1251154,37bffdda-9d22-4ae9-ac81-205ecd6c5e51
Vasile Popescu,vasilepopescu,vasilepopescu@email.ro,4991217325981,1930-05-13,"Aleea Ababei, Ramnicu Sarat, 695860",021 546 7941,02:92:49:99:30:31,27.193.51.29,RO52KEDG9561231064428459,2025-04-10 10:49:49,1199,606,143,1400914,039c8a23-eb68-45ae-8591-247f6f903d10
Marina Diaconescu,marinadiaconescu,marinadiaconescu@email.ro,6210706093371,1965-09-09,"Bulevardul Grigore Dobre Nr. 50 Bl. 60  Sc. 91 Ap. 619, Negresti-Oas, 103438",0740 178 857,fc:4b:2e:33:de:28,168.209.124.229,RO46FPXO6494580786686216,2025-04-10 10:49:49,6431,14,64,39637,c1c56997-28e4-486c-8081-9531e0217d9f
Valentina Stan,valentinastan,valentinastan@post.ro,6750101262915,2010-04-09,"Intrarea Diaconu Nr. 225 Bl. 73  Sc. 86 Ap. 649, Filiasi, 508089",0253 818 083,86:db:a7:d7:ec:e1,181.218.71.90,RO47XKAF4678049163616804,2025-04-10 10:49:49,24602,596,778,1259726,a78e701d-9296-42ee-b7db-8db094c9a26c
Cazimir Pușcașu,cazimirpușcașu,cazimirpușcașu@zzup.ro,7401121453041,1976-09-24,"Soseaua Eftimie Nr. 528 Bl. 74  Sc. 84 Ap. 871, Moldova Veche, 551035",0788 220 062,30:17:d1:00:24:0e,208.192.190.144,RO49VPCE7512697162548759,2025-04-10 10:49:49,29413,783,291,1307385,e1c161f2-70ba-4ab4-b26c-de76803a484e
Ernest Popescu,ernestpopescu,ernestpopescu@kappa.ro,1130201353383,2002-08-07,"Strada Aanei Nr. 897, Resita, 232438",0252 978 119,98:db:9c:4d:07:a0,39.134.55.144,RO41WDJS7031480236144200,2025-04-10 10:49:49,2902,469,656,684300,e5e239da-1d20-4b5c-bab8-97b324546196
Miruna Diaconu,mirunadiaconu,mirunadiaconu@141.ro,1500106171108,1957-11-24,"Aleea Ardelean Nr. 388 Bl. 73  Sc. 91 Ap. 720, Alesd, 352058",0784 473 009,62:a8:51:d1:02:2c,61.36.223.81,RO06XIWZ3950370459407526,2025-04-10 10:49:49,16127,869,576,218352,ed0ac9d1-1961-4c43-8ad8-a5027b3ee1b1
Lazăr Nistor,lazărnistor,lazărnistor@kappa.ro,3880104225202,1967-07-28,"Bulevardul Ionescu Nr. 120 Bl. 64  Sc. 96 Ap. 339, Savinesti (Poiana Teiului), 277794",0263 451 921,8e:68:f0:f5:58:bc,147.253.230.153,RO35OJOE2425946690824610,2025-04-10 10:49:49,4796,715,674,1450172,152c3def-7e3e-46e8-94e4-03792cc5ebf8
Mihai Diaconu,mihaidiaconu,mihaidiaconu@zzup.ro,6280624066710,1981-11-08,"Strada Tomescu, Rucar, 608651",0729 662 171,cc:6e:6e:a5:93:cf,107.85.251.30,RO79AGMV4222949781281313,2025-04-10 10:49:49,31569,586,77,1865012,a87aad46-80ab-4563-8f7b-670cc4eb72be
Iolanda Ababei,iolandaababei,iolandaababei@acasa.ro,6771110209481,2003-07-04,"Drumul Ene Nr. 200, Homocea, 363754",0731 011 486,a4:6d:84:dd:ad:71,66.19.98.113,RO73XDBJ8890509024418273,2025-04-10 10:49:49,12811,275,488,1044318,74b2473d-f62a-4bd0-9e1e-604e9b90449e
Alexandra Dobre,alexandradobre,alexandradobre@post.ro,7640103257591,2015-01-18,"Bulevardul Alexe Niță Nr. 558 Bl. 66  Sc. 52 Ap. 182, Babeni, 130075",0261 547 105,ce:cd:56:28:f3:01,134.132.37.59,RO30TQHV4487808126929215,2025-04-10 10:49:49,4155,824,389,1797918,e19f57cf-fda7-4db7-989f-f6acd909d65a
Semenica Voinea,semenicavoinea,semenicavoinea@gmail.com,4800713281453,1970-10-16,"Aleea Dinu, Savinesti, 627847",0257 380 757,30:34:7e:6f:1d:2e,137.96.90.162,RO37XFSQ4382762437599777,2025-04-10 10:49:49,8460,127,790,7504,23b2989f-47ac-4d50-b10e-e3b9a3b83ec1
Lascăr Manole,lascărmanole,lascărmanole@zzup.ro,3991111417235,1929-08-04,"Aleea Barbu Nr. 808 Bl. 15  Sc. 74 Ap. 691, Talmaciu, 277896",0760 130 697,4c:1f:7d:b5:c6:63,151.157.111.155,RO47MMNM3979725716292471,2025-04-10 10:49:49,9419,592,443,164124,efa15ebf-9990-4066-9cec-25250970eb20
Sorina Ionescu,sorinaionescu,sorinaionescu@141.ro,3190317391301,2010-05-15,"Strada Manole Nr. 767 Bl. 90  Sc. 30 Ap. 612, Pucioasa, 311767",0263 409 947,f8:b7:dd:96:83:40,110.90.29.149,RO92TTHI3585901444423591,2025-04-10 10:49:49,22900,984,123,395415,48532d02-1200-4db4-b1b8-c3b102437f9e
Iosefina Niță,iosefinaniță,iosefinaniță@post.ro,7870820183130,1912-08-02,"Intrarea Stoica Nr. 79, Sebis, 499806",0762 776 602,b0:fd:58:dd:c4:e8,170.190.181.2,RO45FXNH9256365934497383,2025-04-10 10:49:49,22643,195,406,1021989,c651e9b1-d708-4689-93f4-43d2f6aa8ee5
Florina Mocanu,florinamocanu,florinamocanu@acasa.ro,8370822182214,1994-05-14,"Drumul Diaconescu Nr. 112, Schela Cladovei, 763017",0771 080 028,b0:fc:70:2c:1f:94,15.236.110.150,RO19UJEB2029105673871379,2025-04-10 10:49:49,17986,64,347,1515351,ff3ff869-0e0e-4ccb-a844-8dc05de37b05
Darius Dima,dariusdima,dariusdima@acasa.ro,6830308123717,1982-11-17,"Drumul Mioara Nemeș Nr. 57, Gura Humorului, 321384",0749 785 992,7c:28:40:fd:ba:68,58.231.88.22,RO39DAUL5306889327785020,2025-04-10 10:49:49,26237,961,305,1710693,2fdee34c-1e41-449a-86d1-904e22dee332
Dorina Gheorghiu,dorinagheorghiu,dorinagheorghiu@zzup.ro,4170628178321,1931-09-11,"Aleea Dobre Nr. 26, Navodari, 362818",0242 790 980,46:e4:14:0e:3c:0b,61.59.26.100,RO42XZJD9677617803855969,2025-04-10 10:49:49,35334,214,746,1904500,9f842ecb-44ba-49e4-95bd-9e243f96b726
Eliza Ardelean,elizaardelean,elizaardelean@zzup.ro,8240931202814,1915-11-06,"Intrarea Pușcașu Nr. 19, Harsova, 589415",0742 238 165,b4:41:4a:32:00:12,81.243.224.229,RO71CUKB3339189525512644,2025-04-10 10:49:49,30227,995,418,969126,f099496b-6c57-4bfa-bcad-3c2abdcc5902
Teodor Oprea,teodoroprea,teodoroprea@zzup.ro,1840517183471,1914-01-06,"Drumul Ardelean Nr. 49, Intorsura Buzaului, 188818",0754 257 300,62:e1:a7:09:06:00,110.36.179.85,RO50DWCA5048267459557867,2025-04-10 10:49:49,30409,49,663,991440,d3ecab98-f435-4b97-9ce8-5ffdf0375a4e
Cornelia Florea,corneliaflorea,corneliaflorea@zzup.ro,3600309040711,1924-10-11,"Drumul Janeta Aanei, Bocsa, 515497",0720 117 515,a2:3f:d7:42:50:5d,77.68.103.220,RO75GWOA1520390834866777,2025-04-10 10:49:49,26524,971,214,1486481,3cf819dd-f30a-4fbb-a452-92042c9682ea
Antonie Dochioiu,antoniedochioiu,antoniedochioiu@gmail.com,8910123462834,1937-03-13,"Intrarea Iustinian Ioniță, Popesti-Leordeni, 638476",0724 495 372,68:00:5a:9c:24:b5,143.42.42.208,RO89WEEY6977024902448817,2025-04-10 10:49:49,20219,375,778,952003,a6185e28-7eed-4f63-a2f0-f63beb3665da
George Oprea,georgeoprea,georgeoprea@post.ro,1660317209262,1939-12-28,"Bulevardul Zeno Popescu Nr. 215 Bl. 81  Sc. 80 Ap. 189, Draganesti-Olt, 877494",0750 322 657,e2:84:4b:df:6e:3e,222.218.158.241,RO96RPBU1997274167392556,2025-04-10 10:49:49,28767,553,627,1357560,7439ba85-97f7-402f-922f-1dec87a06a3e
Fiona Ioniță,fionaioniță,fionaioniță@zzup.ro,6370719462498,1939-05-02,"Strada Constantin Dobre, Ludus, 253682",0742 033 397,b6:9c:81:71:c3:93,195.246.51.92,RO87RBKU0908258955635013,2025-04-10 10:49:49,623,890,600,1984206,f3f61af6-33fb-436d-865a-bfc35fd58060
